"loan_id","age","annual_income","credit_score","loan_amount","loan_tenure_months","employment_type","dti_ratio","num_delinquencies","default","score_band"
"LN0052",23,536524,787,298913,24,"Self-Employed",0.54,0,0,"Excellent"
"LN0053",59,635801,561,10000,60,"Salaried",0.24,1,0,"Poor"
"LN0054",31,669606,611,263435,12,"Self-Employed",0.21,3,0,"Fair"
"LN0055",61,389144,715,97575,24,"Salaried",0.3,5,0,"Good"
"LN0056",26,579051,629,250183,48,"Salaried",0.15,0,0,"Fair"
"LN0057",54,554331,689,33177,36,"Self-Employed",0.06,0,0,"Good"
"LN0058",60,735071,758,123541,48,"Government",0.63,1,0,"Excellent"
"LN0059",57,353351,824,166865,24,"Self-Employed",0.42,2,0,"Excellent"
"LN0060",63,360008,654,69240,12,"Self-Employed",0.49,0,0,"Fair"
"LN0061",30,753173,583,107218,60,"Salaried",0.55,0,0,"Fair"
"LN0062",50,482380,563,189605,12,"Self-Employed",0.59,0,0,"Poor"
"LN0063",33,467941,606,193880,48,"Self-Employed",0.13,2,0,"Fair"
"LN0064",41,622603,616,51781,24,"Self-Employed",0.29,4,0,"Fair"
"LN0065",30,535920,553,69471,24,"Salaried",0.37,0,0,"Poor"
"LN0066",64,973276,698,166573,48,"Self-Employed",0.16,1,0,"Good"
"LN0067",56,651906,764,263392,12,"Salaried",0.24,0,0,"Excellent"
"LN0068",50,632312,615,209767,12,"Salaried",0.14,0,0,"Fair"
"LN0069",37,786215,567,28445,24,"Self-Employed",0.18,1,0,"Poor"
"LN0070",58,588011,548,92394,48,"Self-Employed",0.49,0,0,"Poor"
"LN0071",49,609748,712,10000,60,"Salaried",0.37,1,0,"Good"
"LN0072",26,385425,653,212752,24,"Salaried",0.44,1,0,"Fair"
"LN0073",49,180000,498,80316,60,"Self-Employed",0.19,2,0,"Very Poor"
"LN0074",23,358559,640,149131,12,"Self-Employed",0.51,1,0,"Fair"
"LN0075",39,622822,650,198731,60,"Salaried",0.33,2,0,"Fair"
"LN0076",45,393341,582,139356,48,"Salaried",0.49,0,0,"Fair"
"LN0077",39,737762,552,82038,12,"Salaried",0.59,0,0,"Poor"
"LN0078",26,745017,614,159211,24,"Government",0.22,0,0,"Fair"
"LN0079",61,643476,594,43493,60,"Salaried",0.08,0,0,"Fair"
"LN0080",61,559669,596,339957,24,"Self-Employed",0.17,0,0,"Fair"
"LN0081",42,326862,466,10000,24,"Self-Employed",0.2,0,0,"Very Poor"
"LN0082",57,538212,638,326294,12,"Self-Employed",0.54,0,0,"Fair"
"LN0083",57,509419,726,195712,60,"Salaried",0.25,1,0,"Good"
"LN0084",60,732646,743,103300,36,"Self-Employed",0.54,0,0,"Excellent"
"LN0085",63,861726,816,171989,48,"Salaried",0.59,0,0,"Excellent"
"LN0086",39,700208,671,146137,24,"Salaried",0.08,0,0,"Good"
"LN0087",48,374342,566,330197,36,"Self-Employed",0.54,2,0,"Poor"
"LN0088",34,934199,690,326639,60,"Self-Employed",0.15,1,0,"Good"
"LN0089",40,802071,738,211348,48,"Self-Employed",0.34,0,0,"Good"
"LN0090",53,644704,801,127265,36,"Government",0.52,0,0,"Excellent"
"LN0091",37,180000,715,162132,12,"Self-Employed",0.12,0,0,"Good"
"LN0092",50,409083,763,87512,12,"Salaried",0.52,0,0,"Excellent"
"LN0093",38,586285,685,73408,36,"Self-Employed",0.42,1,0,"Good"
"LN0094",65,752261,548,125653,60,"Self-Employed",0.63,1,0,"Poor"
"LN0095",30,364019,581,272470,48,"Salaried",0.37,0,0,"Fair"
"LN0096",42,1242240,801,111736,48,"Salaried",0.28,1,0,"Excellent"
"LN0097",64,180000,706,172077,36,"Salaried",0.47,0,0,"Good"
"LN0098",29,552813,597,253422,60,"Government",0.58,0,0,"Fair"
"LN0099",50,548087,594,183921,24,"Self-Employed",0.35,0,0,"Fair"
"LN0100",59,467327,576,192221,36,"Salaried",0.56,1,0,"Poor"
"LN0101",22,536202,662,97694,48,"Self-Employed",0.1,0,0,"Fair"
"LN0102",34,748479,630,159734,24,"Salaried",0.44,0,0,"Fair"
"LN0103",35,425141,575,71051,48,"Salaried",0.28,1,0,"Poor"
"LN0104",26,183437,747,89552,24,"Government",0.18,0,0,"Excellent"
"LN0105",30,618754,651,57121,48,"Salaried",0.61,0,0,"Fair"
"LN0106",37,599636,711,114576,36,"Self-Employed",0.6,2,0,"Good"
"LN0107",47,597380,620,176796,60,"Salaried",0.08,0,0,"Fair"
"LN0108",64,733594,664,141947,36,"Government",0.44,1,0,"Fair"
"LN0109",63,597366,733,71957,60,"Self-Employed",0.39,2,0,"Good"
"LN0110",63,755209,704,72143,24,"Salaried",0.37,0,0,"Good"
"LN0111",54,197853,725,42737,24,"Salaried",0.62,0,0,"Good"
"LN0112",50,374364,504,183128,48,"Self-Employed",0.35,0,0,"Poor"
"LN0113",46,669760,664,171933,24,"Self-Employed",0.25,0,0,"Fair"
"LN0114",53,529420,635,36883,48,"Government",0.34,0,0,"Fair"
"LN0115",38,788955,598,15446,12,"Salaried",0.47,5,0,"Fair"
"LN0116",35,399056,605,144393,36,"Salaried",0.51,2,0,"Fair"
"LN0117",27,744781,784,113175,60,"Self-Employed",0.24,0,0,"Excellent"
"LN0118",64,466233,684,53428,24,"Self-Employed",0.07,0,0,"Good"
"LN0119",58,377392,638,233235,12,"Salaried",0.45,0,0,"Fair"
"LN0120",37,531439,725,144704,12,"Salaried",0.18,2,0,"Good"
"LN0121",52,609956,606,148411,12,"Salaried",0.1,1,0,"Fair"
"LN0122",55,354464,661,199244,12,"Self-Employed",0.64,2,0,"Fair"
"LN0123",51,447199,766,183631,24,"Self-Employed",0.21,1,0,"Excellent"
"LN0124",53,350764,623,123764,48,"Salaried",0.24,0,0,"Fair"
"LN0125",27,803355,586,59243,12,"Salaried",0.56,1,0,"Fair"
"LN0126",43,744723,606,244581,60,"Salaried",0.17,1,0,"Fair"
"LN0127",59,393495,566,13137,12,"Government",0.64,5,0,"Poor"
"LN0128",52,711469,670,260356,36,"Salaried",0.52,0,0,"Fair"
"LN0129",27,548884,676,106720,48,"Self-Employed",0.25,5,0,"Good"
"LN0130",41,377322,718,316037,48,"Self-Employed",0.42,1,0,"Good"
"LN0131",36,684239,794,133619,12,"Self-Employed",0.44,2,0,"Excellent"
"LN0132",55,535410,762,105887,48,"Self-Employed",0.08,0,0,"Excellent"
"LN0133",63,776036,550,153296,24,"Salaried",0.58,0,0,"Poor"
"LN0134",44,561027,810,255364,60,"Self-Employed",0.45,5,0,"Excellent"
"LN0135",33,837611,661,10000,60,"Self-Employed",0.3,0,0,"Fair"
"LN0136",47,498047,619,125361,60,"Salaried",0.26,0,0,"Fair"
"LN0137",62,643910,798,173565,36,"Self-Employed",0.38,0,0,"Excellent"
"LN0138",22,674059,684,161822,48,"Salaried",0.18,0,0,"Good"
"LN0139",23,655822,788,159276,24,"Salaried",0.52,0,0,"Excellent"
"LN0140",45,640388,647,124133,60,"Salaried",0.49,0,0,"Fair"
"LN0141",55,597401,592,58771,24,"Government",0.06,0,0,"Fair"
"LN0142",46,581827,493,378906,24,"Self-Employed",0.63,0,0,"Very Poor"
"LN0143",49,873006,740,33889,60,"Self-Employed",0.49,1,0,"Good"
"LN0144",64,781626,579,228700,48,"Government",0.18,2,0,"Poor"
"LN0145",35,478022,720,61373,48,"Salaried",0.17,0,0,"Good"
"LN0146",55,879287,660,10000,24,"Salaried",0.06,0,0,"Fair"
"LN0147",23,628960,688,162058,36,"Self-Employed",0.38,0,0,"Good"
"LN0148",52,471879,751,318717,36,"Government",0.09,0,0,"Excellent"
"LN0149",53,633960,611,200335,60,"Salaried",0.27,3,0,"Fair"
"LN0150",48,568563,613,18988,60,"Salaried",0.51,0,0,"Fair"
"LN0151",31,620188,631,97322,12,"Salaried",0.33,0,0,"Fair"
"LN0152",49,405321,735,89975,12,"Salaried",0.15,0,0,"Good"
"LN0153",58,436035,612,58389,24,"Salaried",0.54,2,0,"Fair"
"LN0154",31,872584,636,232209,60,"Self-Employed",0.64,1,0,"Fair"
"LN0155",26,792274,714,348243,36,"Salaried",0.43,1,0,"Good"
"LN0156",56,423255,712,33735,36,"Self-Employed",0.35,1,0,"Good"
"LN0157",35,419982,714,215781,48,"Salaried",0.23,0,0,"Good"
"LN0158",35,944667,654,64684,36,"Government",0.13,0,0,"Fair"
"LN0159",49,981808,711,237545,36,"Salaried",0.38,0,0,"Good"
"LN0160",54,444572,673,167648,36,"Self-Employed",0.43,0,0,"Good"
"LN0161",58,339539,599,127341,60,"Salaried",0.54,1,0,"Fair"
"LN0162",56,1124699,794,206804,24,"Salaried",0.06,0,0,"Excellent"
"LN0163",47,645926,501,326838,12,"Salaried",0.47,0,0,"Poor"
"LN0164",52,637350,718,262965,48,"Salaried",0.28,0,0,"Good"
"LN0165",64,615227,677,134272,12,"Self-Employed",0.09,0,0,"Good"
"LN0166",53,880972,652,210431,48,"Self-Employed",0.32,4,0,"Fair"
"LN0167",38,561656,601,62472,24,"Salaried",0.05,1,0,"Fair"
"LN0168",48,891878,629,184414,12,"Salaried",0.44,0,0,"Fair"
"LN0169",51,555869,794,226844,48,"Government",0.44,0,0,"Excellent"
"LN0170",57,701029,642,186725,36,"Salaried",0.47,1,0,"Fair"
"LN0171",41,393301,619,102284,48,"Government",0.26,0,0,"Fair"
"LN0172",32,634095,580,146393,12,"Salaried",0.36,1,0,"Poor"
"LN0173",38,840134,610,103479,24,"Salaried",0.44,0,0,"Fair"
"LN0174",30,567319,643,185429,48,"Salaried",0.23,0,0,"Fair"
"LN0175",38,856495,541,125182,60,"Government",0.42,1,0,"Poor"
"LN0176",34,1145439,741,132174,36,"Self-Employed",0.55,0,0,"Excellent"
"LN0177",52,788385,658,99393,60,"Salaried",0.24,1,0,"Fair"
"LN0178",22,550277,767,235375,36,"Self-Employed",0.16,0,0,"Excellent"
"LN0179",38,619296,729,176992,12,"Self-Employed",0.44,1,0,"Good"
"LN0180",54,513214,763,73708,24,"Salaried",0.43,0,0,"Excellent"
"LN0181",49,1035734,543,170094,12,"Salaried",0.48,1,0,"Poor"
"LN0182",23,180000,696,106148,12,"Salaried",0.24,2,0,"Good"
"LN0183",52,616178,621,158259,60,"Self-Employed",0.55,0,0,"Fair"
"LN0184",29,622028,646,299281,36,"Salaried",0.33,0,0,"Fair"
"LN0185",37,642690,602,66720,24,"Salaried",0.37,0,0,"Fair"
"LN0186",24,288436,667,167599,48,"Salaried",0.12,0,0,"Fair"
"LN0187",58,643242,657,36096,48,"Salaried",0.16,1,0,"Fair"
"LN0188",34,637533,480,199281,36,"Self-Employed",0.12,0,0,"Very Poor"
"LN0189",33,851724,718,34675,36,"Salaried",0.3,3,0,"Good"
"LN0190",22,704704,662,13859,12,"Self-Employed",0.5,0,0,"Fair"
"LN0191",51,823091,572,194577,48,"Self-Employed",0.11,0,0,"Poor"
"LN0192",52,408500,562,89959,12,"Salaried",0.59,0,0,"Poor"
"LN0193",58,575119,595,10000,48,"Self-Employed",0.38,0,0,"Fair"
"LN0194",27,638348,523,44043,24,"Salaried",0.61,0,0,"Poor"
"LN0195",37,654443,661,236043,48,"Salaried",0.1,0,0,"Fair"
"LN0196",31,461237,770,164067,48,"Self-Employed",0.37,2,0,"Excellent"
"LN0197",28,895834,665,166634,12,"Salaried",0.64,1,0,"Fair"
"LN0198",30,477647,692,221456,48,"Salaried",0.58,2,0,"Good"
"LN0199",62,277138,531,165889,12,"Salaried",0.07,2,0,"Poor"
"LN0200",46,680498,527,10000,36,"Salaried",0.58,4,0,"Poor"
"LN0201",24,732911,578,151575,24,"Salaried",0.32,3,0,"Poor"
"LN0202",39,788825,708,38466,60,"Salaried",0.12,0,0,"Good"
"LN0203",49,410748,579,75341,12,"Salaried",0.64,0,0,"Poor"
"LN0204",36,550342,695,19677,12,"Government",0.14,3,0,"Good"
"LN0205",50,334313,633,179528,48,"Government",0.13,0,0,"Fair"
"LN0206",41,768953,681,332853,48,"Salaried",0.56,0,0,"Good"
"LN0207",46,669539,567,188924,12,"Salaried",0.17,0,0,"Poor"
"LN0208",37,782753,574,304572,12,"Government",0.38,0,0,"Poor"
"LN0209",45,721655,642,131430,60,"Salaried",0.06,0,0,"Fair"
"LN0210",54,478490,633,107004,60,"Salaried",0.23,0,0,"Fair"
"LN0211",59,635932,507,212888,36,"Salaried",0.09,0,0,"Poor"
"LN0212",64,218318,693,49810,24,"Self-Employed",0.2,0,0,"Good"
"LN0213",62,700589,494,44067,48,"Salaried",0.14,1,0,"Very Poor"
"LN0214",43,793780,617,10000,12,"Self-Employed",0.07,0,0,"Fair"
"LN0215",47,424853,654,10000,60,"Salaried",0.08,0,0,"Fair"
"LN0216",41,180000,594,114668,36,"Self-Employed",0.25,0,0,"Fair"
"LN0217",58,295434,538,159972,12,"Self-Employed",0.44,3,0,"Poor"
"LN0218",64,377376,618,122000,36,"Self-Employed",0.26,0,0,"Fair"
"LN0219",36,848197,641,10000,36,"Salaried",0.61,1,0,"Fair"
"LN0220",42,600696,576,57676,48,"Salaried",0.19,4,0,"Poor"
"LN0221",55,352441,541,86865,36,"Salaried",0.17,0,0,"Poor"
"LN0222",46,711140,554,221952,24,"Self-Employed",0.26,0,0,"Poor"
"LN0223",59,180000,608,175283,36,"Self-Employed",0.13,1,0,"Fair"
"LN0224",22,550595,614,83841,24,"Self-Employed",0.39,0,0,"Fair"
"LN0225",35,822571,764,20834,36,"Government",0.58,1,0,"Excellent"
"LN0226",32,531665,547,136685,36,"Self-Employed",0.21,1,0,"Poor"
"LN0227",49,861088,680,10000,60,"Self-Employed",0.09,0,0,"Good"
"LN0228",39,959065,617,96649,24,"Salaried",0.58,0,0,"Fair"
"LN0229",55,366433,657,125363,24,"Self-Employed",0.43,1,0,"Fair"
"LN0230",63,369542,597,247802,60,"Self-Employed",0.16,0,0,"Fair"
"LN0231",57,417109,714,221669,60,"Self-Employed",0.52,3,0,"Good"
"LN0232",41,705746,514,166312,24,"Salaried",0.24,0,0,"Poor"
"LN0233",36,767016,662,132720,12,"Salaried",0.64,1,0,"Fair"
"LN0234",28,841827,652,110959,48,"Salaried",0.34,2,0,"Fair"
"LN0235",48,859895,734,198164,36,"Salaried",0.46,1,0,"Good"
"LN0236",51,815146,632,38472,24,"Salaried",0.26,1,0,"Fair"
"LN0237",26,787960,690,121667,24,"Self-Employed",0.17,0,0,"Good"
"LN0238",43,632675,682,248484,36,"Salaried",0.08,0,0,"Good"
"LN0239",41,422372,598,84928,60,"Salaried",0.6,0,0,"Fair"
"LN0240",62,454768,643,27866,60,"Self-Employed",0.21,2,0,"Fair"
"LN0241",32,681519,639,150073,48,"Self-Employed",0.08,0,0,"Fair"
"LN0242",49,936707,740,173613,36,"Self-Employed",0.34,1,0,"Good"
"LN0243",59,941196,669,286523,24,"Government",0.47,1,0,"Fair"
"LN0244",63,214767,673,77400,48,"Self-Employed",0.46,0,0,"Good"
"LN0245",30,433200,837,107871,12,"Salaried",0.37,0,0,"Excellent"
"LN0246",44,883827,683,249201,48,"Salaried",0.21,0,0,"Good"
"LN0247",47,387178,679,128568,48,"Self-Employed",0.06,0,0,"Good"
"LN0248",62,277285,693,174339,12,"Self-Employed",0.09,1,0,"Good"
"LN0249",32,719962,774,187624,36,"Salaried",0.33,0,0,"Excellent"
"LN0250",40,946593,727,252895,12,"Salaried",0.27,1,0,"Good"
"LN0251",49,986901,677,223358,36,"Government",0.44,0,0,"Good"
"LN0252",42,706564,601,146722,48,"Government",0.18,2,0,"Fair"
"LN0253",57,743933,679,46867,12,"Government",0.35,0,0,"Good"
"LN0254",63,712019,661,143656,60,"Salaried",0.56,0,0,"Fair"
"LN0255",43,596383,503,209192,12,"Self-Employed",0.61,0,0,"Poor"
"LN0256",46,180000,527,252141,48,"Salaried",0.11,1,0,"Poor"
"LN0257",51,752141,506,203211,60,"Self-Employed",0.25,0,0,"Poor"
"LN0258",42,521755,763,28185,60,"Salaried",0.24,0,0,"Excellent"
"LN0259",65,801980,699,160098,48,"Self-Employed",0.1,4,0,"Good"
"LN0260",42,474605,462,59489,24,"Salaried",0.58,0,0,"Very Poor"
"LN0261",27,273085,687,111806,12,"Self-Employed",0.28,4,0,"Good"
"LN0262",62,849049,655,62122,12,"Self-Employed",0.59,0,0,"Fair"
"LN0263",31,636275,629,286595,36,"Self-Employed",0.39,0,0,"Fair"
"LN0264",45,1299061,590,135272,36,"Self-Employed",0.59,0,0,"Fair"
"LN0265",28,783118,548,298914,60,"Salaried",0.06,0,0,"Poor"
"LN0266",35,809701,719,10636,24,"Salaried",0.34,0,0,"Good"
"LN0267",33,752765,604,87323,24,"Salaried",0.26,0,0,"Fair"
"LN0268",31,479323,639,213622,24,"Salaried",0.51,0,0,"Fair"
"LN0269",46,525914,697,107418,60,"Salaried",0.49,0,0,"Good"
"LN0270",58,811965,693,308864,12,"Self-Employed",0.44,0,0,"Good"
"LN0271",23,811022,619,97856,24,"Self-Employed",0.33,4,0,"Fair"
"LN0272",56,716594,607,10000,36,"Self-Employed",0.41,1,0,"Fair"
"LN0273",55,402687,671,142638,36,"Salaried",0.48,1,0,"Good"
"LN0274",48,936924,556,118208,36,"Self-Employed",0.47,2,0,"Poor"
"LN0275",52,326632,674,138934,24,"Salaried",0.61,1,0,"Good"
"LN0276",48,513357,664,83939,36,"Self-Employed",0.56,4,0,"Fair"
"LN0277",37,1065012,670,95147,48,"Self-Employed",0.07,1,0,"Fair"
"LN0278",57,704824,628,86583,24,"Self-Employed",0.18,5,0,"Fair"
"LN0279",45,794147,512,117440,48,"Self-Employed",0.6,0,0,"Poor"
"LN0280",59,675395,489,58106,24,"Salaried",0.46,0,0,"Very Poor"
"LN0281",42,400813,547,239261,36,"Salaried",0.51,1,0,"Poor"
"LN0282",41,480503,679,79643,48,"Self-Employed",0.08,0,0,"Good"
"LN0283",32,633050,638,252346,48,"Salaried",0.6,0,0,"Fair"
"LN0284",54,180000,591,33658,24,"Salaried",0.22,0,0,"Fair"
"LN0285",35,430417,587,217378,60,"Self-Employed",0.5,0,0,"Fair"
"LN0286",49,759717,694,101743,12,"Government",0.42,1,0,"Good"
"LN0287",54,540309,521,160524,48,"Government",0.37,3,0,"Poor"
"LN0288",50,543278,710,211156,60,"Salaried",0.06,0,0,"Good"
"LN0289",57,773904,686,76629,36,"Self-Employed",0.63,0,0,"Good"
"LN0290",53,491129,580,168992,12,"Salaried",0.41,1,0,"Poor"
"LN0291",59,725761,642,146425,48,"Salaried",0.3,0,0,"Fair"
"LN0292",43,315533,721,60516,60,"Self-Employed",0.26,0,0,"Good"
"LN0293",65,354497,758,196136,48,"Government",0.06,0,0,"Excellent"
"LN0294",28,265179,769,10000,48,"Salaried",0.07,0,0,"Excellent"
"LN0295",65,616880,680,273521,60,"Government",0.36,1,0,"Good"
"LN0296",26,558775,633,245706,60,"Salaried",0.42,3,0,"Fair"
"LN0297",52,888374,686,133866,36,"Self-Employed",0.07,0,0,"Good"
"LN0298",53,591644,629,115418,24,"Self-Employed",0.11,3,0,"Fair"
"LN0299",39,870751,570,177756,60,"Self-Employed",0.6,0,0,"Poor"
"LN0300",60,989045,718,111170,60,"Self-Employed",0.5,2,0,"Good"
"LN0301",34,501812,706,134376,48,"Salaried",0.1,1,0,"Good"
"LN0302",51,677688,751,168384,24,"Government",0.24,0,0,"Excellent"
"LN0303",23,431021,783,142428,36,"Self-Employed",0.58,0,0,"Excellent"
"LN0304",49,747598,768,286816,36,"Salaried",0.13,2,0,"Excellent"
"LN0305",24,384048,713,123140,24,"Self-Employed",0.19,2,0,"Good"
"LN0306",54,394705,647,79974,24,"Salaried",0.38,0,0,"Fair"
"LN0307",50,657759,643,59396,12,"Salaried",0.27,0,0,"Fair"
"LN0308",41,618162,617,104718,36,"Self-Employed",0.48,1,0,"Fair"
"LN0309",64,652525,588,72049,48,"Self-Employed",0.61,1,0,"Fair"
"LN0310",30,613867,619,225607,12,"Self-Employed",0.58,0,0,"Fair"
"LN0311",31,494271,699,169819,36,"Salaried",0.46,2,0,"Good"
"LN0312",28,573960,681,141626,60,"Self-Employed",0.4,0,0,"Good"
"LN0313",49,924032,554,152221,48,"Self-Employed",0.1,0,0,"Poor"
"LN0314",39,596421,746,77418,12,"Self-Employed",0.19,0,0,"Excellent"
"LN0315",46,336302,753,338075,24,"Salaried",0.31,4,0,"Excellent"
"LN0316",65,431088,769,214702,48,"Salaried",0.11,0,0,"Excellent"
"LN0317",31,379637,552,212731,24,"Salaried",0.27,0,0,"Poor"
"LN0318",30,419982,617,163619,24,"Salaried",0.65,0,0,"Fair"
"LN0319",40,347783,617,162736,36,"Salaried",0.16,1,0,"Fair"
"LN0320",36,180000,614,204241,48,"Self-Employed",0.32,0,0,"Fair"
"LN0321",24,733813,605,184750,60,"Self-Employed",0.49,0,0,"Fair"
"LN0322",43,732008,605,212444,36,"Government",0.13,1,0,"Fair"
"LN0323",41,549880,572,114435,60,"Self-Employed",0.65,0,0,"Poor"
"LN0324",63,455241,605,251721,36,"Self-Employed",0.53,1,0,"Fair"
"LN0325",55,437564,623,32129,60,"Salaried",0.13,0,0,"Fair"
"LN0326",44,679747,665,296081,36,"Salaried",0.48,4,0,"Fair"
"LN0327",38,645313,698,143427,48,"Salaried",0.3,2,0,"Good"
"LN0328",39,684329,727,166565,60,"Salaried",0.24,2,0,"Good"
"LN0329",40,600968,586,145347,12,"Salaried",0.65,0,0,"Fair"
"LN0330",38,723797,653,82556,12,"Government",0.5,0,0,"Fair"
"LN0331",51,686227,837,112681,12,"Salaried",0.4,0,0,"Excellent"
"LN0332",31,711662,613,271316,12,"Salaried",0.12,1,0,"Fair"
"LN0333",58,699192,709,315917,12,"Salaried",0.27,1,0,"Good"
"LN0334",31,932377,594,65460,12,"Salaried",0.44,1,0,"Fair"
"LN0335",55,388993,735,178420,36,"Salaried",0.35,0,0,"Good"
"LN0336",25,901665,694,106990,60,"Self-Employed",0.26,1,0,"Good"
"LN0337",46,533158,577,157225,12,"Self-Employed",0.08,2,0,"Poor"
"LN0338",47,587004,732,177883,48,"Salaried",0.51,1,0,"Good"
"LN0339",60,616216,740,108598,60,"Salaried",0.32,0,0,"Good"
"LN0340",54,510357,721,172984,36,"Self-Employed",0.39,2,0,"Good"
"LN0341",43,180000,429,283446,48,"Salaried",0.13,5,0,"Very Poor"
"LN0342",65,537413,662,63525,24,"Salaried",0.45,1,0,"Fair"
"LN0343",40,608277,772,118172,12,"Self-Employed",0.11,0,0,"Excellent"
"LN0344",27,252454,636,173777,12,"Salaried",0.35,1,0,"Fair"
"LN0345",65,709988,597,179874,48,"Salaried",0.4,1,0,"Fair"
"LN0346",46,480545,638,155407,24,"Salaried",0.3,0,0,"Fair"
"LN0347",51,889548,459,177731,12,"Self-Employed",0.19,3,0,"Very Poor"
"LN0348",63,652974,559,136834,24,"Salaried",0.09,0,0,"Poor"
"LN0349",60,442243,643,165199,12,"Self-Employed",0.47,0,0,"Fair"
"LN0350",46,633546,717,144504,12,"Salaried",0.49,1,0,"Good"
"LN0351",23,651517,667,223316,24,"Self-Employed",0.45,1,0,"Fair"
"LN0352",59,782409,701,206844,12,"Self-Employed",0.59,1,0,"Good"
"LN0353",30,568626,567,148473,12,"Salaried",0.44,1,0,"Poor"
"LN0354",32,193325,769,255050,24,"Government",0.64,0,0,"Excellent"
"LN0355",27,340067,745,163631,36,"Salaried",0.38,0,0,"Excellent"
"LN0356",52,428550,699,196305,48,"Salaried",0.59,0,0,"Good"
"LN0357",26,685253,636,168232,12,"Salaried",0.47,4,0,"Fair"
"LN0358",35,543033,719,101003,24,"Salaried",0.64,0,0,"Good"
"LN0359",63,477126,600,208722,60,"Salaried",0.13,0,0,"Fair"
"LN0360",22,431022,580,10000,12,"Salaried",0.65,1,0,"Poor"
